"Filename",FingerCode,QualityScore,"OptionalError",Quantized,Resampled
"Livescan_500/Natural/Indoor/2_i_1_n_2.png",0,55,NA,0,0
"Livescan_500/Natural/Indoor/2_i_1_n_3.png",0,51,NA,0,0
"Livescan_500/Natural/Indoor/2_i_1_n_4.png",0,48,NA,0,0
"Livescan_500/Natural/Indoor/2_i_1_n_5.png",0,49,NA,0,0
"Livescan_500/Natural/Indoor/2_i_1_n_7.png",0,42,NA,0,0
"Livescan_500/Natural/Indoor/2_i_1_n_8.png",0,40,NA,0,0
"Livescan_500/Natural/Indoor/2_i_2_n_1.png",0,50,NA,0,0
"Livescan_500/Natural/Indoor/2_i_2_n_2.png",0,42,NA,0,0
"Livescan_500/Natural/Indoor/2_i_2_n_3.png",0,39,NA,0,0
"Livescan_500/Natural/Indoor/2_i_2_n_4.png",0,42,NA,0,0
